25,Doctor Mike,5.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,4.0,2.0,4.0,4.0,17.0,10.0,2.0,10.0,5.0,"doctor, mike, real, medical, sunday, twitter, videos, every, contact, health, know, comments, professional, send, want, wednesday, mental, back, stuffs, review"
26,MATT ROSS - DAILY DOCUMENTING,7.0,4.0,3.0,2.0,5.0,1.0,3.0,5.0,4.0,4.0,7.0,8.0,7.0,3.0,2.0,4.0,5.0,8.0,5.0,5.0,8.0,"episode, value, confirmation, main, twitter, daily, documenting, merch, episodes, hours, find, much, engage, hope, notifications, shop, comment, online, watching, journey"
27,LastWeekTonight,5.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,12.0,14.0,6.0,6.0,2.0,4.0,4.0,8.0,2.0,5.0,8.0,"last, week, tonight, news, twitter, almost, jokes, oliver, john, would, visit, find, happens, stuff, site, online, user, discusses, could, trump"
28,MyLifeAsEva,7.0,5.0,3.0,3.0,13.0,2.0,3.0,4.0,4.0,2.0,6.0,8.0,6.0,2.0,2.0,3.0,3.0,7.0,4.0,7.0,6.0,"school, twitter, tumblr, watch, user, comedy, sketches, vlog, amazing, want, night, find, home, make, laugh, lets, thank, decor, room, morning"
31,Raj Suri,5.0,5.0,4.0,3.0,2.0,2.0,3.0,15.0,2.0,6.0,5.0,15.0,6.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,"australia, suri, india, miss, sydney, talent, fashion, branding, training, bollywood, australian, twitter, film, director, personal, photographer, models, actor, indian, worldwide"
32,Milana Coco,12.0,3.0,3.0,4.0,1.0,1.0,2.0,6.0,4.0,1.0,4.0,8.0,9.0,4.0,3.0,3.0,2.0,7.0,4.0,9.0,9.0,"coco, twitter, comment, camera, canon, software, business, inquiries, imovie, info, open, todays, reaction, boyfriend, challenge, prank, reacting, guys, judge, edition"
36,ShivShakti Sachdev,6.0,5.0,4.0,9.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,7.0,5.0,4.0,3.0,2.0,5.0,9.0,3.0,10.0,4.0,"media, twitter, social, music, watch, share, links, also, forget, without, content, comment, thank, mask, face, photos, consent, videos, hope, comes"
37,Western Trading Post TV,7.0,4.0,4.0,4.0,1.0,5.0,6.0,6.0,2.0,3.0,3.0,6.0,7.0,5.0,3.0,4.0,3.0,7.0,5.0,10.0,6.0,"trading, post, western, episode, promo, auction, indian, visiting, american, native, arizona, segment, turquoise, historic, world, jewelry, items, season, santa, movie"
39,Arfat Shaikh Vlog,7.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,9.0,8.0,2.0,4.0,3.0,5.0,9.0,3.0,7.0,3.0,"shot, guys, shaikh, homies, peace, hope, next, contact, till, back, sure, make, find, enjoy, hair, aday, mumbai, market, vlog, wassup"
42,Samsonite Europe,5.0,6.0,5.0,3.0,3.0,5.0,11.0,5.0,4.0,2.0,3.0,6.0,7.0,3.0,5.0,4.0,4.0,7.0,5.0,4.0,5.0,"collection, design, business, instructions, lite, suitcase, range, style, interior, features, collections, luggage, offers, accents, world, generation, campaign, combination, available, ever"
43,Subtle sleeves,6.0,7.0,3.0,3.0,2.0,2.0,3.0,6.0,5.0,4.0,7.0,9.0,8.0,1.0,3.0,3.0,3.0,6.0,8.0,4.0,7.0,"twitter, mumbai, upper, write, went, letters, send, maharashtra, moses, vlog, shot, editor, khan, take, hair, kolkata, science, hero, skin, challenge"
44,Molina Sodhi Kalirao,1.0,9.0,4.0,1.0,3.0,1.0,3.0,18.0,2.0,3.0,4.0,24.0,4.0,1.0,4.0,2.0,2.0,3.0,8.0,1.0,2.0,"shoots, life, reel, studios, twitter, team, thank, music, events, contact, model, collaborations, print, keep, artist, actress, supporting, info, commercial, photoshoots"
45,Shaaanxo,6.0,12.0,9.0,13.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,6.0,7.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,"makeup, watch, using, palette, cosmetics, beauty, twitter, business, twitch, ulta, vlogs, links, purchase, assisted, option, products, glitter, foundation, insta, asos"
47,Rene Byrd,8.0,5.0,8.0,7.0,4.0,4.0,7.0,4.0,3.0,3.0,6.0,8.0,7.0,1.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,"byrd, attends, rene, ayurvedic, luxury, entertainer, presenter, london, tours, retreat, press, portugal, yoga, meditation, dubai, hotel, journey, went, part, travels"
48,Nabela Noor,6.0,10.0,7.0,12.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,6.0,5.0,3.0,3.0,3.0,4.0,9.0,4.0,5.0,4.0,"bella, makeup, babes, hope, thumbs, share, videos, enjoy, sure, medium, palette, sally, beauty, plus, face, thank, partnership, full, challenge, make"
49,BANGALORE NEWS NETWORK,4.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,3.0,17.0,7.0,5.0,5.0,3.0,9.0,6.0,5.0,4.0,4.0,"india, first, world, kidney, hospital, time, march, launched, travel, announced, launches, store, startup, launch, stars, group, celebrates, actress, reit, units"
50,CEO & Trends,5.0,4.0,2.0,2.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,12.0,7.0,5.0,5.0,4.0,3.0,8.0,4.0,3.0,5.0,"trends, twitter, show, incredible, episode, journey, comment, also, take, social, platform, outstanding, punjabi, online, finest, celebrates, find, stories, creators, meda"
51,The Gold Life,6.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,6.0,3.0,5.0,17.0,5.0,2.0,4.0,3.0,4.0,8.0,3.0,4.0,5.0,"twitter, stay, life, check, thank, gold, media, golden, much, made, social, hope, many, come, fresh, means, enjoyed, lang, supporting, panel"
52,Hashima Watts,8.0,12.0,6.0,6.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,5.0,2.0,4.0,2.0,4.0,7.0,5.0,4.0,6.0,"hijab, twitter, organic, social, style, sewing, nail, tutorial, blog, polish, essential, personal, share, apps, know, halal, world, wanted, review, hair"
53,Debbie Zwiers,10.0,2.0,11.0,12.0,1.0,1.0,2.0,5.0,1.0,1.0,8.0,8.0,13.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,10.0,"debbie, deze, twitter, check, stories, voor, niet, beauty, vanaf, hier, zullen, meer, daar, weten, steeds, lifestyle, zara, laten, unboxing, comment"
54,Simply Sabrina,8.0,4.0,6.0,7.0,1.0,3.0,4.0,4.0,7.0,2.0,5.0,7.0,7.0,3.0,3.0,3.0,3.0,6.0,3.0,5.0,7.0,"twitter, blog, stay, connected, favorite, hair, products, theo, mentioned, brush, pins, know, food, minutes, links, affiliate, inch, music, easy, amazon"
55,Leslie Tripathy Network,9.0,2.0,5.0,1.0,3.0,1.0,2.0,10.0,2.0,3.0,7.0,24.0,10.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,10.0,"leslie, twitter, wikipedia, page, blog, blogspot, actress, brand, wiki, followers, indian, anchor, journalist, author, vlogs, talkshow, first, wall, invite, interviews"
