user_id,url,Food,Fashion,Make-up,Beauty,Lifestyle,Luxury,Travel,Photography,Fitness,Sports,Gaming,Entertainment,Gadgets & Tech,Finance,Education,Animal/Pet,Health,Self Improvement,Art,Parenting,Books,genuinity_score,top keywords
524,https://www.instagram.com/angel_foodieindia/,22.0,2.0,4.0,3.0,3.0,3.0,10.0,1.0,6.0,3.0,2.0,2.0,6.0,1.0,2.0,3.0,3.0,10.0,3.0,5.0,3.0,80,"angel,food,hope,chandigarh,love,updates,amazing,mood,life,foodie,lit,india,live,meter,get,best,good,pizza,chocolate,cost"
527,https://www.instagram.com/deep.hora/,2.0,3.0,6.0,3.0,5.0,4.0,8.0,2.0,10.0,7.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,12.0,4.0,8.0,4.0,91,"life,good,day,best,right,get,one,picture,back,fit,time,know,years,wait,outfits,post,summer,got,love,nothing"
530,https://www.instagram.com/travellingscholars/,8.0,3.0,4.0,4.0,3.0,3.0,26.0,3.0,5.0,3.0,2.0,3.0,7.0,1.0,2.0,4.0,2.0,7.0,4.0,3.0,3.0,64,"india,chandigarh,travel,delhi,europe,blogger,asia,pu,place,wanderlust,dish,taste,wanderer,food,love,view,world,australia,foodie,photography"
531,https://www.instagram.com/rare_blooms/,2.0,9.0,8.0,6.0,6.0,3.0,7.0,2.0,6.0,4.0,1.0,7.0,6.0,1.0,2.0,3.0,4.0,12.0,3.0,6.0,3.0,90,"hai,styles,lookbook,indian,love,influencers,dubai,fashion,trendy,beautiful,never,hain,day,made,go,little,life,one,sunday,toh"
532,https://www.instagram.com/i_am_neer/,2.0,15.0,8.0,6.0,4.0,3.0,5.0,2.0,6.0,4.0,1.0,5.0,5.0,2.0,2.0,3.0,6.0,9.0,3.0,5.0,4.0,89,"look,video,love,dress,guys,one,fashion,styling,chandigarh,looks,wearing,hm,outfit,stuff,know,fav,girly,pc,lookbook,wear"
535,https://www.instagram.com/elevators_global/,1.0,18.0,5.0,2.0,3.0,3.0,5.0,8.0,4.0,3.0,1.0,7.0,7.0,5.0,3.0,2.0,1.0,5.0,10.0,3.0,4.0,58,"elevators,chandigarh,fashion,global,show,shoot,frame,model,models,night,scarlet,couture,artist,bloggers,outfit,partners,club,party,repost,makeup"
539,https://www.instagram.com/mrinaaldattblogs/,6.0,11.0,6.0,4.0,4.0,3.0,12.0,2.0,6.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,9.0,4.0,6.0,4.0,74,"chandigarh,love,new,one,know,food,get,time,look,happy,ethnic,coffee,great,makeup,day,outfit,life,also,post,let"
541,https://www.instagram.com/dil_e_cious/,18.0,2.0,3.0,5.0,4.0,2.0,9.0,1.0,11.0,3.0,1.0,7.0,9.0,1.0,2.0,2.0,3.0,9.0,2.0,3.0,2.0,79,"dil,cious,food,best,drinks,join,finding,quest,chandigarh,experience,delicious,one,foodie,amazing,coffee,love,good,delhi,mumbai,yes"
550,https://www.instagram.com/foodie_couple_chd/,35.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,1.0,5.0,7.0,1.0,2.0,4.0,2.0,6.0,3.0,4.0,3.0,65,"foodie,couple,daily,updates,location,use,food,chandigarh,chicken,sector,repost,hai,vegetarianism,cheese,delhi,desi,love,veg,nonvegetarian,pizza"
551,https://www.instagram.com/thepunjabichick/,3.0,6.0,6.0,6.0,3.0,3.0,10.0,5.0,7.0,4.0,1.0,4.0,7.0,2.0,3.0,4.0,3.0,9.0,4.0,6.0,5.0,62,"delhi,happy,fashion,love,travel,photography,hot,chandigarh,cp,pune,nature,lightroom,noida,timer,amazing,hotel,throwback,explorer,quarantine,chick"
556,https://www.instagram.com/dates_with_plates_/,30.0,4.0,5.0,2.0,2.0,4.0,6.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0,5.0,4.0,5.0,9.0,65,"dates,plates,foodie,explore,chandigarh,mood,coffee,frame,food,delhi,served,one,chocolate,pizza,delicious,good,dessert,bloggers,blogger,snacks"
558,https://www.instagram.com/styledbymohini/,2.0,12.0,6.0,4.0,6.0,3.0,13.0,2.0,6.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,8.0,4.0,6.0,5.0,76,"chandigarh,video,know,youtube,also,today,look,love,go,new,check,fashion,one,link,went,guys,happy,bio,let,birthday"
559,https://www.instagram.com/chandigarh0_1_7_2_/,7.0,7.0,5.0,1.0,1.0,7.0,10.0,3.0,2.0,2.0,8.0,9.0,10.0,0.0,3.0,3.0,0.0,5.0,4.0,6.0,6.0,26,"india,punjab,chandigarh,song,boys,dance,girls,tractor,view,motivation,japan,punjabi,weather,switzerland,page,adult,kiss,stunt,love,motorbikes"
560,https://www.instagram.com/travelling_styling/,1.0,2.0,4.0,4.0,3.0,3.0,34.0,2.0,5.0,3.0,1.0,3.0,6.0,1.0,2.0,4.0,3.0,9.0,3.0,4.0,2.0,67,"love,travel,life,switzerland,globetrotter,nature,travelgirl,beautiful,one,traveler,europe,global,wanderlust,us,philippines,vacations,paris,soul,back,take"
564,https://www.instagram.com/parul_bhonsle/,4.0,4.0,5.0,5.0,10.0,3.0,18.0,2.0,5.0,3.0,1.0,4.0,5.0,1.0,2.0,3.0,3.0,9.0,3.0,5.0,3.0,67,"ig,desi,diaries,pixel,india,one,saree,soi,happy,goa,coi,sunset,handwoven,everyone,handcrafted,lookbook,bikini,mermaid,dairies,wanderlust"
586,https://www.instagram.com/believetravellove/,2.0,2.0,4.0,3.0,3.0,4.0,33.0,2.0,5.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,9.0,3.0,5.0,2.0,77,"place,one,travelers,travel,wanderer,japan,also,tbt,travelogue,adventurer,traveling,food,visit,time,dubai,people,wandering,must,beach,trip"
591,https://www.instagram.com/shafaqueeqbal/,2.0,3.0,5.0,4.0,3.0,7.0,11.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,10.0,4.0,16.0,3.0,99,"hubby,photograph,little,love,super,cute,life,new,one,happy,time,checkout,beautiful,get,collection,baby,absolutely,kids,day,dress"
598,https://www.instagram.com/tarangargi/,1.0,2.0,4.0,3.0,3.0,4.0,36.0,2.0,9.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,6.0,3.0,4.0,2.0,60,"travel,india,see,wanderlust,left,love,swipe,beautiful,safari,motivation,traveler,rajasthan,traveling,place,world,asia,indian,beauty,delhi,day"
608,https://www.instagram.com/nomadsofindia/,2.0,2.0,4.0,4.0,2.0,3.0,23.0,4.0,6.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,10.0,4.0,6.0,3.0,95,"photo,trek,trekking,fort,india,know,contest,let,weekend,us,maharashtra,one,year,comment,beautiful,mountain,top,mountains,time,photos"
609,https://www.instagram.com/thesassypilgrim/,2.0,2.0,5.0,3.0,3.0,4.0,14.0,2.0,8.0,6.0,2.0,4.0,6.0,2.0,3.0,4.0,4.0,11.0,4.0,7.0,4.0,83,"mumbai,india,ig,one,mexico,trip,best,gram,time,globetrotter,around,world,back,day,go,memories,next,love,much,got"
610,https://www.instagram.com/pratyashasharma/,2.0,4.0,6.0,5.0,4.0,4.0,7.0,1.0,8.0,6.0,1.0,5.0,5.0,2.0,3.0,4.0,4.0,12.0,4.0,8.0,4.0,98,"love,one,get,day,summer,happy,dress,make,beautiful,na,look,ever,people,new,know,feel,things,always,go,shop"
617,https://www.instagram.com/turban_pride_dumalla_lover/,1.0,8.0,10.0,11.0,2.0,1.0,6.0,4.0,1.0,4.0,3.0,9.0,10.0,1.0,3.0,1.0,1.0,13.0,2.0,4.0,5.0,95,"turban,pride,lover,dastar,singh,ji,tag,updates,worldwide,page,punjabi,wale,punjab,sardar,shri,world,surat,fashion,pic,style"
626,https://www.instagram.com/ankkiittaa/,3.0,3.0,5.0,5.0,3.0,3.0,6.0,1.0,10.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,12.0,12.0,3.0,7.0,4.0,93,"body,design,ni,know,one,indian,day,feel,love,time,good,people,eat,food,also,always,mua,model,better,beautiful"
639,https://www.instagram.com/swatii.chandak/,10.0,5.0,5.0,4.0,3.0,3.0,7.0,1.0,8.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,11.0,4.0,6.0,4.0,88,"love,one,well,life,also,amazing,get,add,jaipur,everything,food,day,would,time,india,people,back,never,let,right"
